Archivo,Nombre Función,Parámetros,Retorna,Línea,Para Qué Funciona,Utilizada,Observaciones
database.py,_get_connection,(),sqlite3.Connection,13,Crea conexión a BD con row_factory,USADA (interna),Método privado
database.py,init_db,(),None,18,Inicializa tablas y columnas en BD,USADA,Llamada en __init__
database.py,verificar_usuario,username;password_ingresada,bool,73,Valida usuario/contraseña simple,NO USADA,ELIMINABLE - Reemplazada por verificar_usuario_y_obtener_datos
database.py,verificar_usuario_y_obtener_datos,username;password,tuple,81,Valida usuario y retorna permisos,USADA,Usada en login.py
database.py,obtener_permisos_usuario,username,tuple,90,Obtiene rol y permisos del usuario,USADA,Usada en mapa.py
database.py,obtener_todos_los_usuarios,(),list,97,Retorna lista de todos usuarios,USADA,Usada en dashboard.py y mapa.py
database.py,alternar_permiso,user_id;columna,None,105,Alterna permiso específico (genérico),USADA (interna),Función core reutilizable
database.py,crear_nuevo_usuario,username;password,None,114,Crea usuario nuevo con permisos por defecto,USADA,Usada en dashboard.py
database.py,actualizar_ultima_conexion,username,None,122,Actualiza timestamp último login,USADA,Usada en login.py
database.py,alternar_permiso_lotes,user_id,None,130,Alterna permisos puede_agregar,NO USADA,ELIMINABLE - Redirecciona a alternar_permiso
database.py,alternar_permiso_edicion,user_id,None,133,Alterna permisos puede_editar,NO USADA,ELIMINABLE - Redirecciona a alternar_permiso
database.py,alternar_permiso_agregar_tareas,user_id,None,136,Alterna permisos puede_agregar_tareas,NO USADA,ELIMINABLE - Redirecciona a alternar_permiso
database.py,alternar_permiso_marcar_tareas,user_id,None,139,Alterna permisos puede_marcar_tareas,NO USADA,ELIMINABLE - Redirecciona a alternar_permiso
database.py,obtener_todos_los_slots,(),list,143,Retorna todos los slots/proyectos,USADA,Usada en dashboard.py
database.py,obtener_slot_por_slug,slug,tuple,150,Obtiene slot por su identificador slug,USADA,Usada en mapa.py
database.py,actualizar_metadatos_slot,slot_id;usuario;fecha,None,157,Actualiza quién vio y cuándo,USADA,Usada en mapa.py
database.py,guardar_kml_en_slot,slot_id;kml_data,None,162,Guarda KML en slot,USADA,Usada en dashboard.py y mapa.py
database.py,vaciar_slot,slot_id,None,169,Limpia todo el contenido de un slot,USADA,Usada en dashboard.py
database.py,obtener_kml_por_id,slot_id,str/None,174,Obtiene contenido KML de slot,USADA,Usada en mapa.py
database.py,eliminar_usuario,user_id,None,182,Elimina usuario (excepto admin),USADA,Usada en dashboard.py
database.py,cambiar_password_usuario,user_id;nueva_password,None,188,Cambia contraseña de usuario,USADA,Usada en dashboard.py
database.py,registrar_log,usuario;accion;detalles,None,194,Registra acción en tabla logs,USADA,Usada en varias rutas
database.py,obtener_logs_por_rango,rango,list,201,Obtiene logs últimas horas/días/mes,USADA,Usada en mapa.py (reportes)
utils/funciones.py,convertir_geojson_a_kml,data,str,6,Convierte GeoJSON a formato KML,USADA,Usada en mapa.py y en exportar_kml
utils/funciones.py,_escapar_powershell,valor,str,23,Escapa caracteres especiales para PowerShell,USADA (interna),Usada en enviar_reporte
utils/funciones.py,enviar_reporte_por_correo,rango;csv_string;nombre_archivo;abrir_outlook,bool,25,Envía reporte por email vía Outlook,NO USADA,ELIMINABLE - No se llama desde rutas
services/reportes.py,generar_csv_logs,logs,str,6,Genera CSV de logs de auditoría,USADA,Usada en mapa.py
services/reportes.py,generar_csv_mapa,data;slot_id,tuple,15,Genera CSV con detalles de lotes,USADA,Usada en mapa.py
services/reportes.py,generar_word_mapa,data;slot_id,tuple,33,Genera documento DOCX con reporte,USADA,Usada en mapa.py
rutas/dashboard.py,index,(),html,8,Renderiza dashboard principal,USADA,Blueprint dashboard
rutas/dashboard.py,cargar,slot_id,redirect,18,Carga archivo KML en slot,USADA,Blueprint dashboard
rutas/dashboard.py,eliminar,slot_id,redirect,27,Elimina KML de slot previa contraseña,USADA,Blueprint dashboard
rutas/dashboard.py,admin_toggle_permiso,user_id,redirect,38,Alterna permiso lotes usuario,USADA,Blueprint dashboard
rutas/dashboard.py,admin_toggle_edicion,user_id,redirect,42,Alterna permiso edición usuario,USADA,Blueprint dashboard
rutas/dashboard.py,admin_toggle_agregar_tareas,user_id,redirect,46,Alterna permiso agregar tareas usuario,USADA,Blueprint dashboard
rutas/dashboard.py,admin_toggle_marcar_tareas,user_id,redirect,50,Alterna permiso marcar tareas usuario,USADA,Blueprint dashboard
rutas/dashboard.py,crear_usuario,(),redirect,55,Crea nuevo usuario desde formulario,USADA,Blueprint dashboard
rutas/dashboard.py,admin_eliminar_usuario,user_id,redirect,65,Elimina usuario y registra en logs,USADA,Blueprint dashboard
rutas/dashboard.py,admin_cambiar_password,user_id,redirect,72,Cambia contraseña de usuario,USADA,Blueprint dashboard
rutas/dashboard.py,toggle_grupo,grupo;user_id,redirect,80,Alterna grupo de permisos completo,USADA,Blueprint dashboard
rutas/login.py,index,(),html/redirect,8,Renderiza login o procesa autenticación,USADA,Blueprint login
rutas/login.py,logout,(),redirect,28,Limpia sesión y redirige a login,USADA,Blueprint login
rutas/mapa.py,_puede_guardar_mapa,rol;permisos,bool,12,Centraliza la validación de guardado en el mapa,USADA,Helper interno
rutas/mapa.py,_armar_permisos_mapa,rol;db_agregar;db_editar;db_agregar_tar;db_marcar_tar;db_costos,dict,16,Arma el diccionario de permisos del mapa,USADA,Helper interno
rutas/mapa.py,visor,slug,html,26,Renderiza mapa de slot específico,USADA,Blueprint mapa
rutas/mapa.py,guardar,slot_id,json,56,API que guarda cambios KML,USADA,API endpoint
rutas/mapa.py,reporte,rango,csv,77,Genera reporte logs por rango tiempo,USADA,API endpoint
rutas/mapa.py,exportar_kml,(),kml_file,91,Descarga KML modificado,USADA,API endpoint
rutas/mapa.py,api_obtener_kml,slot_id,kml_response,100,API que obtiene KML de slot,USADA,API endpoint
rutas/mapa.py,mis_permisos,(),json,109,API que retorna permisos usuario,USADA,API endpoint (vigilante)
rutas/mapa.py,reporte_mapa,slot_id,csv,122,Genera CSV con avances de lotes,USADA,API endpoint
rutas/mapa.py,reporte_word,slot_id,docx,139,Genera DOCX con reporte completo,USADA,API endpoint
static/js/dashboard.js,abrirModal,slotId,undefined,1,Abre modal para eliminar KML,USADA,Evento click
static/js/dashboard.js,cerrarModal,(),undefined,7,Cierra modal eliminar KML,USADA,Evento click/backdrop
static/js/dashboard.js,abrirModalPass,userId;username,undefined,14,Abre modal para cambiar contraseña,USADA,Evento click
static/js/dashboard.js,cerrarModalPass,(),undefined,20,Cierra modal cambiar contraseña,USADA,Evento click/backdrop
static/js/dashboard.js,mostrarSpinnerYEnviar,inputElement,undefined,25,Muestra spinner al cargar KML,USADA,Evento change
static/js/dashboard.js,window.onclick,event,undefined,31,Cierra modales al hacer click en fondo,USADA,Evento window
static/js/mapa.js,escaparHtml,valor,str,41,Escapa texto para atributos y HTML,USADA (interna),Ayuda a construir el popup
static/js/mapa.js,construirOpcionesHTML,opciones;valorSeleccionado,str,49,Genera opciones option reutilizables,USADA (interna),Evita repetir bloques de selects
static/js/mapa.js,actualizarPopupActual,mutador,undefined,56,Aplica cambios al popup y guarda,USADA (interna),Centraliza actualización repetida
static/js/mapa.js,tienePermisoDeGuardado,(),bool,64,Indica si el mapa puede guardar cambios,USADA (interna),Helper de permisos
static/js/mapa.js,crearFilaDosColumnas,columnaIzquierda;columnaDerecha,str,68,Construye una fila de dos columnas,USADA (interna),Reutilizado en campos de fecha y estado
static/js/mapa.js,toggleDibujo,(),undefined,75,Alterna modo dibujo poligonos ON/OFF,USADA,Evento click botón
static/js/mapa.js,prepararCapa,layer,undefined,87,Inyecta funcionalidad popup a capas,USADA (interna),Usada en eventos mapa
static/js/mapa.js,crearContenidoPopup,layer,html,119,Genera HTML completo del popup,USADA (interna),Usada por prepararCapa
static/js/mapa.js,actualizarDato,clave;valor,undefined,263,Actualiza propiedad lote en popup,USADA (interna),Manejador onchange
static/js/mapa.js,toggleTarea,index;completada,undefined,269,Marca/desmarca tarea completada,USADA (interna),Evento checkbox
static/js/mapa.js,eliminarTarea,index,undefined,275,Elimina tarea de lista,USADA (interna),Evento click botón
static/js/mapa.js,agregarTarea,(),undefined,281,Agrega nueva tarea a lote,USADA (interna),Evento click botón
static/js/mapa.js,registrarCambio,(),undefined,294,Marca que hay cambios pendientes,USADA (interna),Llamada en eventos
static/js/mapa.js,actualizarEstado,texto,undefined,299,Actualiza texto de estado guardado,USADA (interna),Helper visual
static/js/mapa.js,guardarAutomaticamente,(),undefined,304,Envía cambios al servidor vía fetch,USADA (interna),Temporal y en eventos
static/js/mapa.js,guardarManual,(),undefined,329,Guarda manualmente y muestra feedback,USADA,Evento click botón
static/js/mapa.js,exportarKML,(),undefined,346,Descarga KML en cliente,USADA,Evento click botón
static/js/mapa.js,descargarReporte,btn,undefined,363,Descarga reporte Word,USADA,Evento click botón
